LabID,TinWeight,InitialSampleInTinWeight,FinalSampleInTinWeight
27,425.2,638.22,430.46
27,426.84,642.11,431.58
448,428.77,565.92,434.09
448,440.68,569.51,447.14
1041,426,581.44,432.01
1041,427.18,611.96,433.87
1059,428.53,578.72,431.16
1059,441.57,600.77,444.08
1183,426.65,545.29,429.47
1183,426.61,560.29,430.89
2080,429.56,586.57,432.81
2080,442.14,600.18,446.08
2205,426.09,586.04,429.21
2205,426.67,569.28,429.91
2812,429.41,563.82,430
2812,440.7,590.07,442.92
3288,426.79,553.66,427.78
3288,427.52,556.59,429.2
3916,428.85,550.61,431.29
3916,440.44,561.4,443.78
4047,426.41,544.3,427.72
4047,428.06,564.17,428.93
4148,427.57,550.53,430.78
4148,441.45,575.93,442.78
4208,444.88,580.88,445.42
4208,435.29,563.4,437.98
4223,425.65,685.21,427.64
4223,428.22,688.04,430.58
4783,428.23,559.48,431.56
4783,441.57,571.26,443.86
4851,425.29,569.51,433.02
4851,426.51,574.62,433.8
5141,426.87,719.53,431.36
5141,426.74,706.97,432.44
5359,427.87,566.89,434.49
5359,440.56,580.83,447.74
5521,428.07,557.41,430.71
5521,441.85,579.87,444.62
5531,425.73,570.41,427.68
5531,427.28,581.58,429.69
5687,425.87,558.99,428.41
5687,426.49,574.82,430.43
5769,426.85,589.3,530.16
5769,427.17,591.81,431.79
6205,428.27,567.09,430.88
6205,442.31,577.42,443.54
6607,425.33,738.82,438.44
6821,426.66,729.83,440.33
6821,428.03,691.63,432.63
6919,441.55,683.86,444.61
6919,426.11,568.45,429.49
6941,427.09,577.91,431.1
6941,429.1,559.24,430.11
7024,441.66,572.2,442.76
7024,425.14,579.41,429.21
7076,428.11,574.78,431.24
7076,425.77,672.66,432.97
7237,427.29,647.58,433.2
7237,424.99,626.78,429.9
7512,426.93,639.1,432.35
7512,427.83,661.73,431.35
7632,440.86,656.12,444.72
7632,426.33,678.42,428.27
8180,426.34,695.25,430.48
8180,427.68,698.92,434.68
8980,440.78,730.69,447.71
8980,425.18,687.49,434.08
9688,428.17,665.05,433.29
9688,428.05,730.12,432.2
9796,440.58,639.99,443.59
9796,444.63,670.37,448.46
9980,435.44,657.29,437.88
9980,426.08,544.5,427.27
10022,426.79,550.5,428.46
10022,428.89,662.71,431.07
10541,441.43,663.94,443.2
10541,425.85,647.71,428.99
10638,427.43,661.18,429.89
10638,426.27,652.44,428.47
10798,427.73,652.8,429.69
10798,426.6,543.19,427.06
10874,427.36,556.97,427.85
10874,428.41,562.56,429.83
11671,440.41,585.57,441.7
11671,425.96,570.23,428.66
12718,426.95,543.37,427.91
12718,427.34,542.86,429.63
12962,440.21,559.78,443.07
12962,428.87,543.34,428.94
13038,440.97,561,441.37
13038,428.55,695.66,432.4
13297,441.6,731.11,444.99
13297,425.96,720.02,429.01
13429,427.18,768.93,432.88
13429,443.82,588.05,446.66
13501,434.28,575.73,437.5
13501,426.01,704.02,429.4
13892,428.43,691.27,430.61
13892,425.62,690.23,429.23
14117,427.14,0,430.6
14117,428.71,560.56,432.23
14501,440.17,579.22,443.78
14501,425.26,544.84,428.14
14554,426.76,544.52,428.81
14554,428.94,561.99,429.85
15129,441.41,576.41,443.03
15129,425.8,714.08,429.61
15213,427.01,750.39,431.64
15213,426.22,728.17,430.67
15218,428.43,757.84,432.65
15218,444.31,592.2,446.54
15237,434.57,582.1,437.9
15237,428.63,565.34,430.93
15325,439.83,577.42,443.68
15325,426.55,589.68,427.76
16145,426.94,574.35,428.13
16145,425.44,757.63,429.32
16223,428.51,779.88,429.97
16223,428.4,593.82,435.56
16602,440.05,596.65,448.27
16602,425.31,586.08,431.43
16842,427.36,565.63,432.24
16842,426.59,571.83,428.34
17169,426.88,559.83,429.51
17169,425.09,566.52,427.14
17468,428.26,581.69,428.29
17468,427.64,575.81,430.27
17938,440.7,593.37,443.12
17938,426.41,575.83,432.73
18100,428.28,583.11,434.98
18100,428.48,615.66,429.99
18818,440.13,612.14,442.17
18818,444.25,602.15,445.75
20482,435.51,599.01,436.68
20482,440.66,645.15,443.66
20483,428.23,631.51,430.55
20483,427.67,621.89,432.72
20688,440.57,617.63,445
20688,440.75,628.1,444.45
21011,428.5,623.56,432.21
21011,426.19,613.88,428.07
21784,427.69,603.51,429.85
21784,441.06,645.28,429.35
22631,429.11,636.31,429.76
22631,428.37,600.93,432.66
23077,440.08,598.67,444.5
23077,424.79,488.39,426.55
23445,426.84,497.8,428.84
23445,441.27,636.59,445.53
23769,427.49,606.56,430.88
23769,443.85,677.71,450.97
23955,436.65,646.05,441.85
23955,440.73,640.03,443.76
24513,428.09,634.21,432.07
24513,424.77,600.17,428.92
24717,427.04,604.88,430.58
24717,440.29,617.13,443.72
24816,428.14,597.61,430.98
24816,440.28,636.41,443.63
24854,428.39,606.89,430.33
24854,424.54,581.25,428.52
25084,427.23,572.06,428.64
25084,435.28,619.05,440.29
25160,444.07,622.12,448.75
25160,424.99,594.42,428.11
25209,426.93,593.55,428.11
25209,444.31,576.37,446.33
25683,436.1,604.95,437.17
25683,441.04,670.56,443.02
25704,428.3,659.04,429.91
25704,424.88,586.26,428.53
26551,427.11,502.79,427.8
26551,428.45,594.11,429.52
26609,441.4,600.52,442.39
26609,444.54,614.1,448.03
26696,435.99,600.54,438.04
26696,424.82,598.85,430.51
27151,427.66,617.69,431.16
27151,426.51,608.61,426.54
27181,427.31,611.29,429.51
27181,427.49,601.78,430.18
27866,441.27,608.88,443.06
27866,443.7,644.3,446.94
27994,436.38,640.64,436.2
27994,425.99,627.84,426.61
28318,427.72,620.5,429.48
