LabID,SampleWeight_1,InitialSampleCanWeight_1,FinalSampleCanWeight_1,SampleWeight_2,InitialSampleCanWeight_2,FinalSampleCanWeight_2
10,495.25,1460.5,1388.1,496.56,1590.2,1517.9
27,484.58,1458.7,1383.1,487.74,1596.4,1520.6
225,497.76,1454.5,1371.3,497.26,1603.5,1520.5
448,491.27,1459.2,1388.2,492.05,1579.6,1509
730,498.48,1442.8,1371,495.75,1591.3,1520.4
964,476.88,1448.2,1382.6,467.97,1586.6,1522.5
1041,499.1,1444.9,1371,499.03,1594.6,1520.7
1059,495.3,1459.7,1385.1,499.3,1598.3,1522.8
1097,487.97,1453.4,1383,492.91,1594.3,1522.8
1183,476.07,1455.9,1370.9,491.22,1593.7,1506.5
1339,497.82,1456.9,1388.2,498.49,1587,1518.2
1619,486.73,1457.3,1383,483.51,1596.1,1523
1773,499.3,1450.9,1371,499.84,1600.3,1520.7
1964,499.06,1462.2,1385,496.89,1588.3,1511.7
2080,498.35,1467.6,1388.1,499.03,1587.1,1508.9
2205,498.79,1570.5,1500.9,496.57,1580.6,1512.1
2207,485.73,1459,1382.8,485.97,1599.2,1522.5
2590,498.7,1449.8,1371.3,500.52,1599.8,1520.8
2812,491.46,1467.6,1383,491.15,1607.1,1522.8
3190,491.68,1458.4,1383,494.98,1599,1522.8
3288,496.96,1460.3,1385.2,497.51,1593.4,1518
3916,498.13,1459,1385.1,497.18,1585,1511.8
3921,498.69,1470.7,1388.3,499.44,1591.1,1509.1
4047,455.29,1473.5,1383.2,467,1612.3,1520.7
4148,497.61,1458.9,1382.8,497.94,1597.4,1523
4208,494.84,1458.9,1382.6,495.96,1600,0
4223,495.64,1466.5,1388.2,494.9,0,0
4675,482.11,1454,1383.3,457.7,1587.7,1520.3
4783,493.6,1440.6,1371,499.72,1590.8,1520.7
4851,494.5,1455.8,1385.2,496.49,1588.9,1518.2
5141,454.07,1449.7,1371.3,469.98,1602,1520.6
5333,497.4,1457.8,1383.3,497.99,1598,1522.8
5359,499.45,1444.5,1371,498.98,1593.4,1520.7
5520,485.67,1473.2,1383.3,471.07,1607.2,1520.6
5521,467.8,1442.8,1382.5,472.8,1582.9,1522.8
5531,493.04,1461.9,1385.2,497.78,1581.3,1504.4
5677,499.24,1434.7,1370.8,499.3,1583.5,1520.8
5687,478.72,1453.2,1382.9,478.96,1592,1522.8
5769,480.94,1457.4,1371.4,480.06,1593.1,1506.6
5816,499.94,1454.5,1370.9,474.94,1599.6,1520.4
6101,495.58,1455.7,1385.4,495.66,1593.7,1523.2
6205,499.77,1441.8,1371.1,498.64,1577.5,1506.6
6520,494.65,1467.3,1385.1,494.45,1593.8,1511.8
6607,496.77,1462.8,1385,498.51,1590,1511.5
6681,495.89,1441.2,1371.1,495.16,1591.4,1520.8
6821,498.99,1458.8,1382.5,499.63,1586.2,1509.1
6902,496.85,1468.4,1383.2,482.52,1605.9,1523.1
6919,499.25,1449,1371.2,499.26,1598.2,1520.7
6941,499.56,1444.5,1371.2,499.62,1579.4,1506.5
7024,488.63,1464.6,1388.1,495.58,1585.8,1508.9
7076,496.64,1458.4,1385.2,497.12,1576.7,1504
7145,494.63,1461.4,1385,496.72,1588.1,1511.5
7237,484.39,1466.1,1383.5,480.63,1589,1506.8
7512,499.34,1460.3,1388.1,497.59,1580.6,1508.8
7632,499.65,1464.5,1385.3,495.3,1590.5,1512
8125,496.93,1469,1388.4,498.63,1590.3,1509.3
8180,494.86,1453.6,1370.9,448.65,1594.8,1520.6
8535,490.54,1446.9,1370.8,492.78,1596.3,1520.5
8846,499.53,1446.8,1371,498.88,1595.5,1520.8
8911,490.57,1447.7,1382.8,488.96,1586.8,1522.9
8980,484.96,1452.6,1382.5,479.61,1591.4,1522.9
8981,482.35,1470,1383.6,464.09,1603.3,1520.6
9219,455.67,1516.4,1371.2,456.85,1666.8,1520.5
9249,470.12,1451.4,1383,461.19,1590.9,1522.6
9296,498.53,1460.9,1385.6,497.91,1593,1518
9514,486.66,1444.3,1383,489.37,1583.5,1522.7
9688,464.54,1576.2,1503,466.69,1585.9,1511.7
9796,497.5,1452.8,1382.9,497.29,1593.7,1523.1
9980,496.5,1465.6,1385.3,496.47,1598.7,1518.6
10022,495.82,1448.9,1371,492.18,1597,1520.6
10448,492.03,1450.7,1383,491.62,1590.2,1522.8
10541,469.97,1454.6,1383.1,470.87,1594,1523.8
10601,496.61,1470,1371.3,485.47,1617.6,1520.7
10607,499.22,1443.1,1370.9,499.57,1592.4,1520.6
10638,500.05,1461.8,1383.3,496.15,1582.4,1504.5
10720,496.7,1470.6,1385.1,496.63,1597.5,1512
10798,492.09,1461.8,1382.6,494.06,1602.1,1522.5
10874,496.84,1464.8,1383.1,496.67,1604.8,1523
11038,498.21,1450,1371.3,498.18,1585.6,1506.9
11342,460.8,1472.3,1383.1,458.16,1595.2,1506.7
11361,490.1,1457.1,1385.1,496.93,1595.3,1522.9
11638,495.87,1453.5,1383.4,496.28,1593.5,1523.1
11671,492.99,1459.9,1383.5,492.41,1594.6,1518.3
12653,489.46,1451.4,1385.2,491.31,1577.6,1511.6
12718,497.03,1451.3,1388.1,497.15,1580.8,1518.1
12808,493.47,1464.2,1388,493.53,1585.7,1508.9
12962,493.06,1449.5,1371.1,481.94,1583.4,1506.6
13038,492.73,1457.5,1371.2,497.73,1607.7,1520.8
13207,496.27,1467.7,1388.3,496.13,1588.8,1509
13252,486.96,1462.9,1383.1,487.3,1599.8,1520.2
13297,494.63,1455,1371.2,495.76,1604.8,1520.9
13429,495.1,1460.6,1388.2,463.52,1577.2,1509.1
13473,497.97,1455.1,1385.5,497.96,1587.7,1518
13501,500.26,1453.5,1385.1,497.4,1579.3,1511.7
13892,497.48,1474.5,1385.6,496.06,1606.9,1518
14097,499.69,1445.9,1371.3,500.19,1594.5,1520.8
14117,497.43,1454.1,1385.6,497.32,1586.7,1518.3
14501,482.17,1453.7,1383,470.83,1592,1522.7
14554,499.29,1449.7,1371.1,497.65,1598.1,1520.4
14593,497.29,1473.3,1385.5,497.12,1605.7,1518.3
14926,495.62,1467.8,1388.2,495.89,1589.2,1509
15129,481.22,1452.8,1382.8,481.51,1593,1522.7
15213,498.55,1457.6,1383.6,498.97,1591.9,1518.4
15218,496.34,1453.5,1385.2,496.01,1585,1517.8
15237,497.56,1467.9,1385.3,496.87,1600.5,1517.9
15325,456.45,1460.8,1383.2,452.99,1597.2,1520.7
15341,500.16,1447.9,1370.9,500.49,1597.3,1520.8
16051,499.16,1446.5,1371.1,498.99,1581.5,1506.9
16145,498.95,1450.5,1371.4,498.75,1600,1520.4
16182,497.46,1460.4,1385.3,497.68,1586.8,1512
16223,492.29,1454.1,1385.3,497.03,1581.1,1511.8
16602,497.58,1457,1385.4,497.81,1594.5,1522.9
16607,498.96,1444.2,1371.2,497.26,1593.5,1520.6
16662,497.1,1446.3,1370.9,498.04,1595.3,1520.6
16842,485.75,1467.2,1383.4,478.21,1603.3,1520.7
17013,496.24,1460,1385.5,496.56,1587.5,1513
17118,495.79,1465.9,1388.3,495.83,1596.1,1517.9
17169,494.53,1453.7,1385,497.54,1580.7,1511.9
17175,500.69,1454.6,1371.2,499.72,1604.3,1521
17468,496.84,1443.7,1371.2,496.57,1593,1520.5
17938,498.25,1456.3,1383.3,498,1591.4,1518.1
18100,498.09,1457.1,1384.9,496.64,1595.4,1504.2
18377,479.6,1461.6,1382.7,482.59,1602.3,1522.8
18818,494.81,1441.4,1370.9,499.79,1577.6,1506.4
19148,493.06,1468.9,1385,493.43,1588.1,1504.3
19307,498.44,1461.7,1385.5,499.26,1600.4,1523
19743,498.35,1455.8,1379.5,495.33,1587.7,1511.6
19967,492.59,1462,1383.1,487.43,1598.5,1520.6
20482,485.61,1443.2,1371.3,492.6,1593.7,1520.4
20483,498.21,1451.2,1371.2,497.96,1600.3,1520.5
20688,495.8,1459.4,1385.2,497.06,1591.9,1518.1
21009,495.55,1460.5,1388.3,496.29,1590.6,1517.9
21011,495.91,1461.8,0,498.37,1589.4,1511.9
21112,482.59,1462.5,1382.7,483.68,1603.3,1522.8
21239,489.13,1450.4,1382.7,485.53,1589.2,1522.5
21784,496.91,1459,1385.1,497.58,1585.7,1511.7
22415,483.87,1460.5,1388.4,491.64,1577.7,1504.2
22631,497.93,1441.1,1370.8,499.95,1590.6,1520.3
23077,496.32,1459.4,1388.5,496.46,1590,1518
23170,495.23,1587.6,1504.4,499.47,1597.1,1513.3
23406,498.46,1449.2,1370.9,500.3,1598.7,1520.6
23445,494.33,1460,1383.2,488.13,1596,1520.5
23483,494.86,1457.7,1385.1,495.12,1595.8,1522.9
23672,496.99,1450.3,1385.5,497.56,1582.6,1518
23769,494.89,1447,1371,494.87,1596.5,1520.7
23955,462.04,1447,1371.2,493.06,1601.7,1520.6
24176,499.02,1438.6,1371,499.44,1587.7,1520.4
24455,488.9,1470.2,1383.3,473.42,1604.2,1520.3
24513,487.15,1462.9,1382.9,481.34,1599.3,1520.8
24607,498.33,1443.7,1371.3,499,1592.9,1520.6
24717,500.07,1437.6,1370.9,499.84,1573.1,1506.4
24816,482.87,1461.3,1385.1,478.67,1587.3,1511.6
24854,466.1,1469.9,1383.4,450.74,1590.4,1506.7
25084,495.53,1464.2,1385.6,492.34,1596.5,1518.1
25160,496.89,1452.8,1385.4,496.27,1590.4,1522.9
25209,465.25,1442.2,1371.2,491.53,1595.4,1520.4
25353,495.65,1461.1,1385.5,494.25,1587.9,1511.9
25683,495.13,1458.3,1382.9,494.41,1597.9,1522.8
25704,494.14,1462.9,1388.1,497.58,1583.8,1509.1
25916,493.53,1458.5,1385.3,493.44,1595.8,1522.7
26391,495.26,1463.8,1388.5,494.9,1594,1517.9
26551,498.86,1474.1,1385.4,496.81,1600.3,1511.8
26609,485.08,1448.1,1383,481.96,1587.9,1522.9
26696,498.41,1458.1,1379.6,494.9,1591.4,1511.8
27058,498.89,1459,1385.5,498.18,1577.3,1504.2
27151,496.79,1457.6,1385.1,497.54,1577.2,1504.4
27181,460.86,1459,1383.5,463.1,1596.4,1520.4
27269,485.77,1458.2,1383.3,469.89,1593.4,1520.3
27783,496.02,1462.3,1387.8,499.37,1582.9,1508.8
27799,495.53,1454,1385.2,494.91,1592.2,1522.9
27866,497.56,1463.7,1385.3,498.17,1596.6,1518.1
27994,474.54,1457.3,1383.2,455.8,1591.4,1520.6
28318,494.64,1459.1,1385.6,494.97,1592,1518
28607,483.48,1458.7,1383.4,485.73,1595.9,1520.4
28616,474.63,0,1382.6,474.64,1589.7,1522.9
28691,459.69,1475.5,1383.5,483.32,1603,1506.4
28781,497.99,1460.1,1382.6,498.45,1586.8,1508.8
28812,495.09,1459.5,1385.7,494.74,1592.5,1518.4
28939,495.41,1456.5,1383.1,495.74,1596.9,1522.9
29318,487.67,1451.3,1382.8,486.67,1591.8,1523
29799,500.17,1439.5,1371.1,498.63,1589,1520.3
29825,499.9,1448.3,1371.1,497.76,1597.4,1520.7
29840,496.76,1453.1,1385.3,498.31,1586.3,1518.1
29871,496.07,1463.6,1382.7,496.05,1603.3,1523.7
30256,466.99,1457.1,1383.4,485.7,1583.6,1506.5
30464,498.66,1447.5,1370.8,499.27,1597.5,1520.4
30466,497.33,1473.1,1383,497.35,1613.2,1522.8
30569,493.91,1459.3,1385.1,493.95,1577.7,1504.5
31035,498.63,1465.4,1385.7,495.97,1597.3,1518.4
31067,490.96,1455.4,1382.5,487.43,1594.8,1522.6
31156,499.01,1454.6,1382.2,499.57,1581.9,1508.9
31478,474.14,1451.8,1382.8,473.35,1591.7,1522.6
31709,496.54,1465.3,1383.3,496.1,1605.3,1522.8
31854,496.26,1468.7,1388,496.1,1587.9,1509.1
31894,499.02,1439.3,1371,499.4,1588.6,1520.6
31929,496.88,1464.5,1382.9,496.64,1604.4,1523.1
31976,494.1,1457,1382.9,494.69,1597,1522.9
32159,492.34,1451.7,1371.3,496.41,1601.6,1520.7
32327,496.71,1467.7,1387.8,495.33,1587.9,1508.9
32399,467.17,1448.3,1382.7,464.76,1587.7,1522.6
32753,445.44,1446.9,1371.3,446.66,1596,1520.9
33088,494.74,1453.5,1385.3,494.78,1585.7,1518.3
33545,492.48,1462,1379.3,491.92,1594,1512
33697,487.45,1447.8,1382.8,492.45,1588.8,1522.7
33876,478.62,1445.7,1382.9,477,1586.1,1522.6
34116,482.29,1460.5,1382.9,487.47,1601.1,1522.6
34803,495.26,1476.1,1385.3,498.02,1614.4,1522.8
35039,496.42,1450.5,1382.5,496.59,1577.6,1509.1
35048,496.18,1477.2,1383.5,490.89,1599.8,1506.5
35461,468.59,1460.5,1383.2,483.29,1599.4,1520.4
35711,494.19,1457.4,1385.3,494.11,1596.2,1523.1
35852,487,1452.9,1383.2,464.84,1586.7,1520.8
35862,496.98,1461.5,1388.5,497.37,1591.3,1518
35898,498.87,1455.1,1382.4,499.11,1581.7,0
36045,494.15,1473.2,1385.2,494.54,1611.2,1523.1
36336,497.61,1449.5,1371.2,498.13,1598.5,1520.6
36631,499.72,1439,1371.1,499.75,1588.3,1520.7
36844,492.4,1577.9,1503.8,492.3,1599.9,1522.6
37300,496.26,1464.1,1379.6,488.58,1595.9,1511.6
37320,499.93,1474.3,1382.1,499.71,1601.3,1508.9
37819,498.46,1477,1383,496.22,1616.5,1522.9
38168,474.27,1449.4,1383,470.76,1588.8,1522.7
38297,472.93,1452,1382.9,477.49,1592.2,1522.5
38442,466.23,1455.6,1383.1,466.82,1595.8,1523
38535,499.29,1448.4,1371.1,499.07,1587.5,1520.7
38820,468.91,1588.1,1513,447.99,1584.9,1513.1
38923,500.06,1443.4,1371,496.19,1592.1,1520.6
39011,472.85,1444.3,1382.9,473.84,1585,1523
39174,496.33,1449.9,1385.4,497.25,1577.1,1511.8
39293,494.46,1462.6,1383.6,493.98,1597.2,1518.2
39437,497.09,1459,1385.1,497.3,1596.8,1523
40003,451.33,1463.1,1383.3,451.33,1600.6,1520.7
40066,495.86,1454.1,1383.3,497.89,1589.2,1518
40315,481,1449.7,1382.8,490.16,1572.4,1503.7
