LabID,Pol,Brix
1,78.298,20.523
2,80.91,20.807
3,94.542,24.141
4,60.63,16.62
5,89.876,23.599
6,70.389,18.562
7,93.632,24.14
8,82.643,21.621
9,62.5,16.833
10,79.686,21.834
11,65.301,17.311
12,69.487,19.673
13,81.564,21.55
14,64.966,18.745
15,88.056,23.066
16,67.767,18.054
17,77.892,20.475
18,92.539,24.008
19,94.134,24.126
20,91.582,23.669
21,60.809,17.236
22,77.275,20.14
23,71.988,20.834
24,75.856,20.263
25,71.458,18.81
26,78.211,20.701
27,78.776,20.759
28,73.27,19.614
29,89.533,23.059
30,63.5,17.809
31,85.152,22.442
32,72.648,19.542
33,74.352,19.786
34,72.805,19.689
35,92.374,23.66
36,93.065,24.536
37,89.543,23.919
38,74.289,20.353
39,75.815,20.926
40,80.889,21.296
41,75.166,19.39
42,75.747,19.881
43,80.869,21.461
44,74.21,19.319
45,90.639,23.259
46,76.417,19.016
47,76.286,19.511
48,85.749,22.622
49,85.828,22.662
50,88.889,23.407
51,70.369,19.176
52,81.093,21.238
53,70.61,18.405
54,74.186,19.833
55,82.581,21.355
56,81.819,21.586
57,90.426,23.587
58,75.389,20.687
59,88.869,23.066
60,75.626,20.171
61,80.854,21.896
62,79.911,21.925
63,82.865,21.562
64,68.909,18.48
65,100.59,25.499
66,65.53,18.244
67,82.876,22.304
68,83.303,22.952
69,87.663,22.793
70,81.122,21.089
71,71.559,19.573
72,92.744,24.211
73,60.435,17.083
74,92.983,23.9
75,76.988,20.819
76,73.406,20.618
77,90.266,23.184
78,92.285,23.413
79,86.425,22.523
80,73.891,20.063
81,94.38,23.94
82,65.232,17.758
83,82.941,22.669
84,71.023,18.973
85,83.66,21.87
86,77.54,21.185
87,79.766,21.675
88,78.299,20.463
89,82.962,21.777
90,72.747,19.994
91,75.655,19.639
92,75.706,21.014
93,87.353,22.496
94,86.991,23.875
95,77.484,20.767
96,95.029,24.41
97,75.631,20.188
98,67.402,18.759
99,91.75,23.343
100,83.879,22.271
101,92.068,23.936
102,83.969,21.893
103,80.091,21.579
104,92.17,23.471
105,76.499,21.065
106,75.933,20.239
107,76.412,21.092
108,82.815,21.979
109,80.536,21.363
110,90.772,23.274
111,64.847,18.043
112,77.079,20.806
113,80.754,21.726
114,74.473,19.901
115,86.976,22.623
116,87.487,22.64
117,79.827,20.569
118,60.345,17.548
119,94.938,24.63
120,66.952,18.435
121,79.718,20.507
122,82.079,21.54
123,67.145,18.658
124,84.866,21.709
125,78.15,21.243
126,72.848,19.363
127,83.112,21.957
128,83.772,22.141
129,75.53,20.133
130,78.64,20.459
131,83.318,21.3
132,76.586,19.46
133,81.358,21.622
134,68.113,18.769
135,64.122,17.44
136,75.81,20.617
137,92.333,23.571
138,67.993,18.89
139,78.868,20.902
140,61.215,17.315
141,79.309,20.873
142,93.753,24.229
143,76.769,20.436
144,68.556,18.994
145,91.19,22.697
146,85.998,22.281
147,59.299,17.158
148,74.281,19.393
149,74.969,19.811
150,70.349,19.945
151,72.815,19.846
152,73.907,19.666
153,77.426,20.4
154,67.834,18.336
155,86.37,22.922
156,98.823,25.019
157,80.662,21.128
158,70.406,18.858
159,68.56,18.442
160,91.06,23.377
161,88.301,23.063
162,84.068,21.594
163,72.968,19.607
164,70.91,19.274
165,82.303,21.3
166,79.224,20.396
167,76.225,19.901
168,91.445,23.115
169,88.862,23.039
170,75.393,20.506
171,71.984,20.382
172,83.052,21.988
173,70.52,18.732
174,81.29,21.265
175,65.325,18.483
176,71.685,18.861
177,73.076,19.671
178,70.058,19.349
179,78.816,21.35
180,71.522,18.825
181,79.676,21.307
182,77.264,20.192
183,83.272,21.687
184,54.574,15.749
185,78.13,20.959
186,75.268,20.003
187,76.871,22.598
188,85.672,22.614
189,71.955,18.909
190,84.544,22.989
191,83.3,21.515
192,76.051,19.858
193,77.758,20.619
194,75.988,20.049
195,71.817,19.662
196,80.933,22.747
197,75.53,20.406
198,80.173,20.814
199,70.128,18.579
200,80.555,21.397
201,88.505,23.636
202,81.005,21.088
203,58.509,16.772
204,84.412,21.991
205,65.366,18.664
206,69.837,18.738
207,86.951,22.915
208,90.188,23.97
209,83.595,21.585
210,97.97,25.144
211,57.741,16.09
212,95.026,23.993
213,78.4,20.837
214,83.126,21.914
215,75.533,19.604
216,79.123,20.864
217,68.917,18.965
218,66.524,18.873
219,76.422,20.305
220,81.519,21.455
221,91.181,23.333
222,86.679,22.963
223,77.104,20.625
224,62.741,17.809
225,79.201,21.812
226,81.058,21.111
227,98.777,25.225
228,80.358,21.129
229,74.792,19.796
230,88.977,23.363
231,56.762,16.051
232,89.149,23.661
233,64.09,18.309
234,90.51,23.945
235,89.119,22.882
236,79.333,20.885
237,83.707,22.917
238,84.045,22.351
239,82.638,21.677
240,93.25,24.086
241,82.059,21.561
242,86.159,22.034
243,86.946,22.69
244,76.293,20.126
245,80.506,21.245
246,84.83,22.296
247,85.257,22.749
248,77.308,20.67
249,65.422,18.486
250,95.557,24.123
251,82.534,21.322
252,85.184,22.562
253,79.276,20.879
254,67.71,18.48
255,83.528,21.884
256,83.853,21.467
257,73.409,19.791
258,69.476,19.063
259,65.44,18.872
260,81.896,21.429
261,73.826,19.785
262,76.023,20.108
263,71.716,19.574
264,97.519,25.14
265,70.471,18.846
266,76.469,20.57
267,74.872,19.812
268,82.805,21.357
269,93.831,23.964
270,83.724,21.763
271,75.667,19.671
272,73.879,19.797
273,67.824,18.541
274,77.102,21.009
275,75.407,20.859
276,80.906,21.462
277,94.809,25.075
278,95.124,24.09
279,68.819,18.823
280,95.944,24.507
281,93.476,24.006
282,82.052,21.985
283,90.893,22.994
284,83.341,22.133
285,77.614,20.281
286,91.032,23.578
287,75.996,20.371
288,50.396,14.948
289,78.166,20.887
290,92.465,23.526
291,74.711,20.25
292,91.698,23.455
293,62.887,18.26
294,94.742,24.482
295,85.744,22.031
296,92.927,23.948
297,73.55,18.909
298,93.746,24.012
299,75.286,20.575
300,90.388,24.176
301,80.425,21.032
302,79.13,20.607
303,93.689,23.938
304,69.246,18.132
305,87.521,23.206
306,82.579,21.72
307,79.171,20.566
308,72.036,19.553
309,87.785,23.193
310,83.161,21.587
311,82.508,21.662
312,85.147,22.232
313,92.049,23.977
314,72.025,19.332
315,93.803,23.419
316,88.551,22.613
317,85.094,22.061
318,84.706,22.354
319,76.67,20.262
320,74.515,19.857
321,82.094,21.308
322,91.628,23.629
323,79.25,21.167
