ScanID, DateTime, NIR_Pol, NIR_Brix, NIR_Fibre, NIR_Ash, GH, NH
15022.02,2023-02-15 03:33:29,72.8551,19.6316,13.737,1.2055,0.88448,0.043454
15022.03,2023-02-15 03:34:03,69.6456,19.0395,14.3537,2.0498,0.54922,0.08393
15022.04,2023-02-15 03:34:40,73.2184,19.9639,13.6891,1.3387,0.84666,0.25339
15022.05,2023-02-15 03:35:18,73.364,19.8254,12.8837,1.3261,0.35808,0.29305
15022.06,2023-02-15 03:35:55,70.8986,19.2695,13.2262,1.5776,0.4152,0.27571
15022.07,2023-02-15 03:36:31,71.657,19.4196,13.9711,1.3405,0.64383,0.11436
15022.08,2023-02-15 03:37:09,72.2982,19.4596,14.0231,1.2734,0.21158,0.32772
15022.09,2023-02-15 03:37:45,70.9503,18.9749,13.7746,1.3266,0.4819,0.27902
15022.10,2023-02-15 03:38:19,76.0537,20.408,13.8258,1.3122,0.79724,0.049488
15022.11,2023-02-15 03:38:55,72.2094,19.2536,13.2881,0.97978,0.83986,0.2745
15022.12,2023-02-15 03:39:33,70.8547,19.1248,14.1651,1.28,0.74084,0.17782
15022.13,2023-02-15 03:40:10,73.315,19.7778,13.5854,1.0196,0.63034,0.30505
15023.01,2023-02-15 03:41:51,90.0699,23.7222,15.2947,1.6587,0.57679,0.056305
15023.02,2023-02-15 03:42:24,73.4581,19.3872,14.4277,2.3248,0.25767,0.17276
15023.03,2023-02-15 03:43:00,73.0571,19.5685,13.7557,2.1135,0.42905,0.053967
15023.04,2023-02-15 03:43:38,73.1049,19.491,13.9211,1.857,0.22891,0.053631
15023.05,2023-02-15 03:44:15,73.3317,19.507,13.7356,1.6898,0.44405,0.16677
15023.06,2023-02-15 03:44:48,77.1595,20.2398,13.6184,2.0867,0.74262,0.18688
15023.07,2023-02-15 03:45:25,74.2701,20.0948,14.5821,2.2789,-0.012899,0.24492
15023.08,2023-02-15 03:46:02,71.8978,19.5601,13.6166,2.111,0.35359,0.0018172
15023.09,2023-02-15 03:46:39,73.8969,19.5701,13.4705,1.7919,0.4905,0.19555
15023.10,2023-02-15 03:47:17,73.7584,19.7473,13.8938,1.6732,0.49529,0.060072
15023.11,2023-02-15 03:47:54,73.0286,19.5655,15.0761,2.2394,0.35851,0.26499
15023.12,2023-02-15 03:48:31,73.4429,19.9333,13.6989,1.8356,0.064724,0.207
15023.13,2023-02-15 03:49:08,76.1364,19.9991,14.8703,2.3652,0.33645,0.024884
15023.14,2023-02-15 03:49:45,71.0134,19.0695,14.0653,2.0784,1.0634,0.14442
15023.15,2023-02-15 03:50:22,75.3754,20.2411,13.8962,1.5558,0.65582,0.1146
15023.16,2023-02-15 03:50:59,75.1839,19.9282,14.5436,1.717,0.30657,0.31929
15023.17,2023-02-15 03:51:36,72.8141,19.2058,13.7373,2.0855,0.78012,0.093919
15023.18,2023-02-15 03:52:12,71.7824,19.5266,13.5782,1.7092,0.54105,0.2625
15023.19,2023-02-15 03:52:49,73.6216,19.8665,13.8503,1.8657,0.53946,0.014109
15023.20,2023-02-15 03:53:26,74.1134,19.7036,13.7803,1.9438,0.50356,0.15805
15023.21,2023-02-15 03:54:02,72.8475,19.4698,13.6426,2.1087,0.40851,0.2313
15023.22,2023-02-15 03:54:40,71.9889,19.6229,14.0433,1.9922,0.03608,0.095259
15023.23,2023-02-15 03:55:18,71.191,19.266,13.9539,1.9452,0.3685,0.21686
15023.24,2023-02-15 03:55:55,73.8483,19.8267,14.246,2.2038,0.50146,0.093736
15023.25,2023-02-15 03:56:32,76.8021,20.2051,13.7322,2.0626,0.77606,0.29753
15024.02,2023-02-15 03:58:42,72.4606,19.3086,13.6541,2.1694,0.65334,0.18076
15024.03,2023-02-15 03:59:18,73.5543,19.575,14.2518,2.3057,0.47731,0.1851
15024.04,2023-02-15 03:59:56,72.4951,19.6088,14.1059,1.8318,0.62992,0.24908
15024.05,2023-02-15 04:00:33,71.5321,19.3028,14.8552,2.3152,0.14971,0.12103
15024.06,2023-02-15 04:01:09,72.4508,19.687,14.5203,2.2058,-0.03568,0.22735
15024.07,2023-02-15 04:01:47,72.6216,19.6031,14.2212,2.1576,0.59587,0.18411
15024.08,2023-02-15 04:02:24,72.0087,19.5033,13.7946,1.4985,0.52004,0.10495
15024.09,2023-02-15 04:03:01,75.8749,20.2092,14.5416,2.2039,0.52128,0.33065
15024.10,2023-02-15 04:03:38,74.3104,19.8851,14.2775,2.2072,-0.31736,0.28676
15024.11,2023-02-15 04:04:16,73.1747,19.4742,13.7311,1.7633,0.48687,0.2788
15024.12,2023-02-15 04:04:54,74.8894,20.1323,14.5614,2.303,0.20406,0.12296
15024.13,2023-02-15 04:05:32,76.3473,20.4464,14.0236,1.7254,0.44013,0.1497
15024.14,2023-02-15 04:06:09,72.1348,19.7881,13.6525,2.0038,-0.13662,0.13263
15024.15,2023-02-15 04:06:46,71.3017,19.2492,14.2106,1.4425,0.37376,0.090757
15024.16,2023-02-15 04:07:24,72.9311,19.6135,14.1158,2.1732,0.44643,0.27209
15024.17,2023-02-15 04:08:01,73.1424,19.8903,14.2079,1.5907,0.62635,0.30418
15024.18,2023-02-15 04:08:35,75.6718,20.2349,13.9314,1.9202,0.98553,0.048151
15024.19,2023-02-15 04:09:12,70.9784,19.6226,14.2533,1.7471,0.46224,0.30079
15024.20,2023-02-15 04:09:51,77.0109,20.5222,14.0507,1.4328,0.4605,0.30292
15025.01,2023-02-15 04:11:29,77.5252,20.7872,15.5947,2.0177,0.76014,0.075828
15025.02,2023-02-15 04:12:07,75.947,20.2043,14.9584,2.5026,0.09361,0.17293
15025.03,2023-02-15 04:12:40,73.2788,19.386,14.3558,2.4592,0.23192,0.062292
15025.04,2023-02-15 04:13:18,70.6308,19.059,14.6912,2.0953,0.23442,0.20639
15025.05,2023-02-15 04:13:56,77.6803,20.1292,14.6549,2.123,0.044646,0.024171
15025.06,2023-02-15 04:14:32,74.7539,19.9109,14.2747,2.1016,0.25872,0.23799
15025.07,2023-02-15 04:15:10,73.1078,19.4994,14.248,2.078,0.38819,0.22148
15025.08,2023-02-15 04:15:46,73.3715,19.8473,15.1026,2.1398,0.80207,0.081415
15025.09,2023-02-15 04:16:23,73.756,19.7515,14.5853,1.9172,0.38671,0.066329
15025.10,2023-02-15 04:17:02,70.9101,19.3323,15.014,2.4268,0.36017,0.11821
15025.11,2023-02-15 04:17:38,72.954,19.4354,14.2625,2.0108,0.23019,0.058035
15025.12,2023-02-15 04:18:16,71.9649,19.3867,14.6658,2.3129,0.65207,0.21386
15025.13,2023-02-15 04:18:54,73.7956,19.7564,14.4084,2.2158,0.42448,0.25814
15025.14,2023-02-15 04:19:31,75.02,19.9757,14.3721,2.0734,0.37525,0.2102
15025.15,2023-02-15 04:20:08,74.5786,19.7152,13.8867,2.009,0.46472,0.25179
15025.16,2023-02-15 04:20:45,77.7436,20.2065,13.3517,1.7749,0.32934,0.19161
15025.17,2023-02-15 04:21:24,70.9162,19.184,14.321,1.9562,0.45972,0.14416
15025.18,2023-02-15 04:22:00,75.659,20.1727,14.7526,2.5788,-0.17682,0.047923
15025.19,2023-02-15 04:22:37,74.5042,19.8037,13.5811,1.9247,1.0043,0.21247
15025.20,2023-02-15 04:23:11,72.7554,19.6536,14.4373,2.2286,0.4873,0.18831
15025.21,2023-02-15 04:23:47,75.4843,20.0286,14.8139,1.6118,0.44374,0.26528
15025.22,2023-02-15 04:24:25,75.0964,20.1256,15.8411,2.2945,0.4108,0.03732
15026.01,2023-02-15 04:26:36,78.1293,20.8515,15.2692,1.2444,0.31605,0.15994
15026.03,2023-02-15 04:28:42,82.3437,21.5192,15.1185,1.6294,0.25859,0.30878
15026.04,2023-02-15 04:29:20,83.6994,21.7534,14.8606,1.6537,1.0517,0.11728
15026.05,2023-02-15 04:29:52,84.4754,21.5711,14.4231,1.209,0.55005,0.21386
15026.06,2023-02-15 04:30:30,83.5293,21.5901,14.5275,1.4137,0.47325,0.29986
15026.07,2023-02-15 04:31:08,83.2951,21.623,14.6776,1.8885,0.67386,0.2617
15026.08,2023-02-15 04:31:45,83.8355,21.7384,14.9631,1.8968,0.37856,0.31046
15026.09,2023-02-15 04:32:21,85.6799,22.3071,14.6913,1.4248,0.28846,0.32588
15026.10,2023-02-15 04:32:59,81.2097,21.595,15.452,1.6263,0.38335,0.30638
15026.11,2023-02-15 04:33:36,83.3622,21.8111,15.044,1.7801,0.34101,0.25049
