"LabID","Pol","Brix","Ash","Fibre"
1,78.298,20.523,NA,NA
2,80.91,20.807,NA,NA
3,94.542,24.141,NA,NA
4,60.63,16.62,NA,NA
5,89.876,23.599,NA,NA
6,70.389,18.562,NA,NA
7,93.632,24.14,NA,NA
8,82.643,21.621,NA,NA
9,62.5,16.833,NA,NA
10,79.686,21.834,NA,14.5895266754809
11,65.301,17.311,NA,NA
12,69.487,19.673,NA,NA
13,81.564,21.55,NA,NA
14,64.966,18.745,NA,NA
15,88.056,23.066,NA,NA
16,67.767,18.054,NA,NA
17,77.892,20.475,NA,NA
18,92.539,24.008,NA,NA
19,94.134,24.126,NA,NA
20,91.582,23.669,NA,NA
21,60.809,17.236,NA,NA
22,77.275,20.14,NA,NA
24,75.856,20.263,NA,NA
25,71.458,18.81,NA,NA
26,78.211,20.701,NA,NA
27,78.776,20.759,2.33556885853875,15.5711030463498
28,73.27,19.614,NA,NA
29,89.533,23.059,NA,NA
30,63.5,17.809,NA,NA
31,85.152,22.442,NA,NA
32,72.648,19.542,NA,NA
33,74.352,19.786,NA,NA
34,72.805,19.689,NA,NA
35,92.374,23.66,NA,NA
36,93.065,24.536,NA,NA
37,89.543,23.919,NA,NA
38,74.289,20.353,NA,NA
39,75.815,20.926,NA,NA
40,80.889,21.296,NA,NA
41,75.166,19.39,NA,NA
42,75.747,19.881,NA,NA
43,80.869,21.461,NA,NA
44,74.21,19.319,NA,NA
45,90.639,23.259,NA,NA
47,76.286,19.511,NA,NA
48,85.749,22.622,NA,NA
49,85.828,22.662,NA,NA
50,88.889,23.407,NA,NA
51,70.369,19.176,NA,NA
52,81.093,21.238,NA,NA
53,70.61,18.405,NA,NA
54,74.186,19.833,NA,NA
55,82.581,21.355,NA,NA
56,81.819,21.586,NA,NA
57,90.426,23.587,NA,NA
58,75.389,20.687,NA,NA
59,88.869,23.066,NA,NA
60,75.626,20.171,NA,NA
61,80.854,21.896,NA,NA
62,79.911,21.925,NA,NA
63,82.865,21.562,NA,NA
64,68.909,18.48,NA,NA
65,100.59,25.499,NA,NA
66,65.53,18.244,NA,NA
67,82.876,22.304,NA,NA
69,87.663,22.793,NA,NA
70,81.122,21.089,NA,NA
71,71.559,19.573,NA,NA
72,92.744,24.211,NA,NA
73,60.435,17.083,NA,NA
74,92.983,23.9,NA,NA
75,76.988,20.819,NA,NA
76,73.406,20.618,NA,NA
77,90.266,23.184,NA,NA
78,92.285,23.413,NA,NA
79,86.425,22.523,NA,NA
80,73.891,20.063,NA,NA
81,94.38,23.94,NA,NA
82,65.232,17.758,NA,NA
83,82.941,22.669,NA,NA
84,71.023,18.973,NA,NA
85,83.66,21.87,NA,NA
86,77.54,21.185,NA,NA
87,79.766,21.675,NA,NA
88,78.299,20.463,NA,NA
89,82.962,21.777,NA,NA
90,72.747,19.994,NA,NA
91,75.655,19.639,NA,NA
92,75.706,21.014,NA,NA
93,87.353,22.496,NA,NA
95,77.484,20.767,NA,NA
96,95.029,24.41,NA,NA
97,75.631,20.188,NA,NA
98,67.402,18.759,NA,NA
99,91.75,23.343,NA,NA
100,83.879,22.271,NA,NA
101,92.068,23.936,NA,NA
102,83.969,21.893,NA,NA
103,80.091,21.579,NA,NA
104,92.17,23.471,NA,NA
105,76.499,21.065,NA,NA
106,75.933,20.239,NA,NA
107,76.412,21.092,NA,NA
108,82.815,21.979,NA,NA
109,80.536,21.363,NA,NA
110,90.772,23.274,NA,NA
111,64.847,18.043,NA,NA
112,77.079,20.806,NA,NA
113,80.754,21.726,NA,NA
114,74.473,19.901,NA,NA
115,86.976,22.623,NA,NA
116,87.487,22.64,NA,NA
117,79.827,20.569,NA,NA
118,60.345,17.548,NA,NA
119,94.938,24.63,NA,NA
120,66.952,18.435,NA,NA
121,79.718,20.507,NA,NA
122,82.079,21.54,NA,NA
123,67.145,18.658,NA,NA
124,84.866,21.709,NA,NA
125,78.15,21.243,NA,NA
126,72.848,19.363,NA,NA
127,83.112,21.957,NA,NA
128,83.772,22.141,NA,NA
129,75.53,20.133,NA,NA
130,78.64,20.459,NA,NA
131,83.318,21.3,NA,NA
132,76.586,19.46,NA,NA
133,81.358,21.622,NA,NA
134,68.113,18.769,NA,NA
135,64.122,17.44,NA,NA
136,75.81,20.617,NA,NA
137,92.333,23.571,NA,NA
138,67.993,18.89,NA,NA
139,78.868,20.902,NA,NA
140,61.215,17.315,NA,NA
141,79.309,20.873,NA,NA
142,93.753,24.229,NA,NA
143,76.769,20.436,NA,NA
144,68.556,18.994,NA,NA
145,91.19,22.697,NA,NA
146,85.998,22.281,NA,NA
147,59.299,17.158,NA,NA
148,74.281,19.393,NA,NA
149,74.969,19.811,NA,NA
150,70.349,19.945,NA,NA
151,72.815,19.846,NA,NA
152,73.907,19.666,NA,NA
153,77.426,20.4,NA,NA
154,67.834,18.336,NA,NA
155,86.37,22.922,NA,NA
156,98.823,25.019,NA,NA
157,80.662,21.128,NA,NA
158,70.406,18.858,NA,NA
159,68.56,18.442,NA,NA
160,91.06,23.377,NA,NA
161,88.301,23.063,NA,NA
162,84.068,21.594,NA,NA
163,72.968,19.607,NA,NA
164,70.91,19.274,NA,NA
165,82.303,21.3,NA,NA
166,79.224,20.396,NA,NA
167,76.225,19.901,NA,NA
168,91.445,23.115,NA,NA
169,88.862,23.039,NA,NA
170,75.393,20.506,NA,NA
171,71.984,20.382,NA,NA
172,83.052,21.988,NA,NA
173,70.52,18.732,NA,NA
174,81.29,21.265,NA,NA
175,65.325,18.483,NA,NA
176,71.685,18.861,NA,NA
177,73.076,19.671,NA,NA
178,70.058,19.349,NA,NA
179,78.816,21.35,NA,NA
180,71.522,18.825,NA,NA
181,79.676,21.307,NA,NA
182,77.264,20.192,NA,NA
183,83.272,21.687,NA,NA
184,54.574,15.749,NA,NA
185,78.13,20.959,NA,NA
186,75.268,20.003,NA,NA
188,85.672,22.614,NA,NA
189,71.955,18.909,NA,NA
190,84.544,22.989,NA,NA
191,83.3,21.515,NA,NA
192,76.051,19.858,NA,NA
193,77.758,20.619,NA,NA
194,75.988,20.049,NA,NA
195,71.817,19.662,NA,NA
197,75.53,20.406,NA,NA
198,80.173,20.814,NA,NA
199,70.128,18.579,NA,NA
200,80.555,21.397,NA,NA
201,88.505,23.636,NA,NA
202,81.005,21.088,NA,NA
203,58.509,16.772,NA,NA
204,84.412,21.991,NA,NA
205,65.366,18.664,NA,NA
206,69.837,18.738,NA,NA
207,86.951,22.915,NA,NA
208,90.188,23.97,NA,NA
209,83.595,21.585,NA,NA
210,97.97,25.144,NA,NA
211,57.741,16.09,NA,NA
212,95.026,23.993,NA,NA
213,78.4,20.837,NA,NA
214,83.126,21.914,NA,NA
215,75.533,19.604,NA,NA
216,79.123,20.864,NA,NA
217,68.917,18.965,NA,NA
218,66.524,18.873,NA,NA
219,76.422,20.305,NA,NA
220,81.519,21.455,NA,NA
221,91.181,23.333,NA,NA
222,86.679,22.963,NA,NA
223,77.104,20.625,NA,NA
224,62.741,17.809,NA,NA
225,79.201,21.812,NA,16.7031759629397
226,81.058,21.111,NA,NA
227,98.777,25.225,NA,NA
228,80.358,21.129,NA,NA
229,74.792,19.796,NA,NA
230,88.977,23.363,NA,NA
231,56.762,16.051,NA,NA
232,89.149,23.661,NA,NA
233,64.09,18.309,NA,NA
234,90.51,23.945,NA,NA
235,89.119,22.882,NA,NA
236,79.333,20.885,NA,NA
237,83.707,22.917,NA,NA
238,84.045,22.351,NA,NA
239,82.638,21.677,NA,NA
240,93.25,24.086,NA,NA
241,82.059,21.561,NA,NA
242,86.159,22.034,NA,NA
243,86.946,22.69,NA,NA
244,76.293,20.126,NA,NA
245,80.506,21.245,NA,NA
246,84.83,22.296,NA,NA
247,85.257,22.749,NA,NA
248,77.308,20.67,NA,NA
249,65.422,18.486,NA,NA
250,95.557,24.123,NA,NA
251,82.534,21.322,NA,NA
252,85.184,22.562,NA,NA
253,79.276,20.879,NA,NA
254,67.71,18.48,NA,NA
255,83.528,21.884,NA,NA
256,83.853,21.467,NA,NA
257,73.409,19.791,NA,NA
258,69.476,19.063,NA,NA
259,65.44,18.872,NA,NA
260,81.896,21.429,NA,NA
261,73.826,19.785,NA,NA
262,76.023,20.108,NA,NA
263,71.716,19.574,NA,NA
264,97.519,25.14,NA,NA
265,70.471,18.846,NA,NA
266,76.469,20.57,NA,NA
267,74.872,19.812,NA,NA
268,82.805,21.357,NA,NA
269,93.831,23.964,NA,NA
270,83.724,21.763,NA,NA
271,75.667,19.671,NA,NA
272,73.879,19.797,NA,NA
273,67.824,18.541,NA,NA
274,77.102,21.009,NA,NA
275,75.407,20.859,NA,NA
276,80.906,21.462,NA,NA
277,94.809,25.075,NA,NA
278,95.124,24.09,NA,NA
279,68.819,18.823,NA,NA
280,95.944,24.507,NA,NA
281,93.476,24.006,NA,NA
282,82.052,21.985,NA,NA
283,90.893,22.994,NA,NA
284,83.341,22.133,NA,NA
285,77.614,20.281,NA,NA
286,91.032,23.578,NA,NA
287,75.996,20.371,NA,NA
289,78.166,20.887,NA,NA
290,92.465,23.526,NA,NA
291,74.711,20.25,NA,NA
292,91.698,23.455,NA,NA
293,62.887,18.26,NA,NA
294,94.742,24.482,NA,NA
295,85.744,22.031,NA,NA
296,92.927,23.948,NA,NA
297,73.55,18.909,NA,NA
298,93.746,24.012,NA,NA
299,75.286,20.575,NA,NA
300,90.388,24.176,NA,NA
301,80.425,21.032,NA,NA
302,79.13,20.607,NA,NA
303,93.689,23.938,NA,NA
304,69.246,18.132,NA,NA
305,87.521,23.206,NA,NA
306,82.579,21.72,NA,NA
307,79.171,20.566,NA,NA
308,72.036,19.553,NA,NA
309,87.785,23.193,NA,NA
310,83.161,21.587,NA,NA
311,82.508,21.662,NA,NA
312,85.147,22.232,NA,NA
313,92.049,23.977,NA,NA
314,72.025,19.332,NA,NA
315,93.803,23.419,NA,NA
316,88.551,22.613,NA,NA
317,85.094,22.061,NA,NA
318,84.706,22.354,NA,NA
319,76.67,20.262,NA,NA
320,74.515,19.857,NA,NA
321,82.094,21.308,NA,NA
322,91.628,23.629,NA,NA
323,79.25,21.167,NA,NA
324,78.121,21.396,NA,NA
325,70.115,19.039,NA,NA
326,71.889,20.067,NA,NA
327,84.31,22.144,NA,NA
328,80.076,21.064,NA,NA
329,75.267,19.889,NA,NA
330,91.86,23.587,NA,NA
331,81.879,21.809,NA,NA
332,79.524,21.018,NA,NA
333,78.325,20.351,NA,NA
334,89.548,23.595,NA,NA
335,65.806,17.775,NA,NA
336,91.967,23.433,NA,NA
337,79.214,21.152,NA,NA
338,84.107,22.038,NA,NA
339,62.771,17.078,NA,NA
340,82.518,21.775,NA,NA
341,66.279,18.608,NA,NA
342,88.925,22.826,NA,NA
343,74.097,19.517,NA,NA
344,77.03,20.175,NA,NA
345,81.597,22.188,NA,NA
346,87.862,22.393,NA,NA
347,88.71,23.327,NA,NA
348,94.189,23.868,NA,NA
349,65.075,17.613,NA,NA
350,92.148,23.777,NA,NA
351,79.98,21.32,NA,NA
352,75.714,19.746,NA,NA
353,86.648,22.764,NA,NA
354,75.177,20.168,NA,NA
355,95.8,24.272,NA,NA
356,82.131,21.549,NA,NA
357,81.634,21.559,NA,NA
358,86.109,22.529,NA,NA
359,90.557,23.962,NA,NA
360,90.003,22.871,NA,NA
361,91.423,24.325,NA,NA
362,76.596,21.137,NA,NA
363,87.238,22.776,NA,NA
364,59.046,17.278,NA,NA
365,58.76,15.917,NA,NA
366,81.721,20.963,NA,NA
367,69.841,19.47,NA,NA
368,85.632,22.202,NA,NA
369,84.837,22.687,NA,NA
370,82.262,21.038,NA,NA
371,88.775,22.619,NA,NA
372,73.003,19.254,NA,NA
373,79.963,21.89,NA,NA
374,86.407,22.707,NA,NA
375,83.671,22.223,NA,NA
376,92.627,23.492,NA,NA
377,76.956,20.096,NA,NA
378,78.763,21.115,NA,NA
379,58.715,16.871,NA,NA
380,64.625,17.99,NA,NA
381,81.161,21.641,NA,NA
382,99.984,25.447,NA,NA
383,87.792,22.314,NA,NA
384,97.435,24.618,NA,NA
385,71.697,19.094,NA,NA
386,98.36,25.142,NA,NA
387,85.464,22.49,NA,NA
388,90.174,22.776,NA,NA
389,78.444,20.609,NA,NA
390,77.646,20.244,NA,NA
391,74.552,19.713,NA,NA
392,66.645,18.537,NA,NA
394,84.078,22.006,NA,NA
395,77.757,19.837,NA,NA
396,77.798,20.352,NA,NA
397,74.665,20.279,NA,NA
398,82.537,22.029,NA,NA
399,74.361,19.764,NA,NA
400,94.599,24.207,NA,NA
401,89.756,22.827,NA,NA
402,71.016,19.069,NA,NA
403,87.752,22.713,NA,NA
404,88.153,22.589,NA,NA
405,85.814,22.307,NA,NA
406,84.727,21.917,NA,NA
407,82.763,22.536,NA,NA
408,77.079,20.443,NA,NA
409,77.671,20.43,NA,NA
410,76.538,19.853,NA,NA
411,77.817,20.573,NA,NA
412,84.003,22.06,NA,NA
413,73.913,19.641,NA,NA
414,80.377,21.773,NA,NA
415,78.22,21.329,NA,NA
416,88.79,22.598,NA,NA
417,73.561,19.641,NA,NA
418,92.598,23.696,NA,NA
419,89.886,22.931,NA,NA
420,96.514,24.653,NA,NA
421,66.825,18.222,NA,NA
422,64.89,18.146,NA,NA
423,64.371,17.15,NA,NA
424,87.975,22.97,NA,NA
425,80.52,22.247,NA,NA
426,90.791,23.562,NA,NA
427,63.73,18.553,NA,NA
428,86.029,22.495,NA,NA
429,86.432,23.055,NA,NA
430,70.653,18.458,NA,NA
431,74.957,20.675,NA,NA
432,73.881,19.366,NA,NA
433,72.502,19.066,NA,NA
434,85.402,21.932,NA,NA
435,85.822,22.258,NA,NA
436,90.643,24.392,NA,NA
437,65.587,18.226,NA,NA
438,73.105,19.211,NA,NA
439,73.37,19.9,NA,NA
440,79.473,21.08,NA,NA
441,87.072,22.53,NA,NA
443,95.234,24.398,NA,NA
444,74.751,19.47,NA,NA
445,75.02,19.854,NA,NA
446,84.056,21.875,NA,NA
447,80.741,21.356,NA,NA
448,65.056,18.108,4.44666232328653,14.400236585203
449,75.815,20.178,NA,NA
450,92.654,24.785,NA,NA
451,76.336,19.973,NA,NA
452,75.099,19.632,NA,NA
453,78.723,20.438,NA,NA
454,78.499,20.165,NA,NA
455,73.974,19.927,NA,NA
456,70.422,18.994,NA,NA
457,64.984,17.631,NA,NA
458,75.854,20.176,NA,NA
459,69.231,19.411,NA,NA
460,87.398,22.785,NA,NA
461,65.62,18.19,NA,NA
463,83.587,21.707,NA,NA
464,69.765,19.199,NA,NA
465,90.347,23.374,NA,NA
466,94.117,24.528,NA,NA
467,91.729,23.684,NA,NA
468,86.462,22.28,NA,NA
469,88.696,22.62,NA,NA
470,81.74,21.129,NA,NA
471,66.308,18.152,NA,NA
472,63.488,17.321,NA,NA
473,77.654,20.401,NA,NA
474,81.833,21.072,NA,NA
475,88.617,22.738,NA,NA
476,67.781,18.189,NA,NA
477,63.631,18.048,NA,NA
478,72.866,19.515,NA,NA
479,73.285,20.04,NA,NA
480,75.849,20.706,NA,NA
481,79.913,20.768,NA,NA
483,83.814,21.443,NA,NA
484,79.93,20.997,NA,NA
485,70.85,20.054,NA,NA
486,82.58,21.497,NA,NA
487,93.028,24.313,NA,NA
488,90.757,23.143,NA,NA
489,92.754,23.675,NA,NA
490,69.689,18.833,NA,NA
491,76.141,21.217,NA,NA
492,69.469,19.126,NA,NA
493,74.265,20.174,NA,NA
494,75.81,20.223,NA,NA
495,79.516,20.597,NA,NA
496,69.485,19.541,NA,NA
497,71.567,19.928,NA,NA
498,92.545,23.921,NA,NA
499,79.232,20.692,NA,NA
500,71.39,18.717,NA,NA
501,79.332,21.236,NA,NA
502,84.062,21.73,NA,NA
503,81.79,21.57,NA,NA
504,71.71,19.442,NA,NA
505,74.091,20.078,NA,NA
506,73.946,19.707,NA,NA
507,92.217,23.889,NA,NA
508,78.939,21.127,NA,NA
509,64.963,18.301,NA,NA
